Awards,Category,Film Title,Winner,Presenter,Speech
1998 (71st) Academy Awards,Film Editing,Saving Private Ryan,Michael Kahn,Jim Carrey,"MICHAEL KAHN:
Wow, thank you very much. I feel so proud to have played a role in the making of this historical motion picture. I'm so grateful to you, Steven, for giving me the opportunity to excel and grow as a person on this humbling World War II movie. Thank you. I'm also grateful to my family. Chickie, my wife, and Julie, Ken, and Adam and Allison Zunder, for their love and support during this war effort. And special good wishes to my brother and sister, Lee* and Mickey, on the east coast. I'm very honored. Thank you very much.
[*Spelling not confirmed.]"
1998 (71st) Academy Awards,Foreign Language Film,Life Is Beautiful,Italy (accepted by director Roberto Benigni),Sophia Loren,"ROBERTO BENIGNI:
Thank you! Sophia, I leave(?) it here, the Oscar, but I want you. I want to be rocked by the waves of your beauty. Come here. Thank you! Thank you! This is a moment of joy and I want to kiss everybody because you are the maker(?) of the joy. He who kisses the joy as it flies lives in eternity sunrise, said [the] poet. And this is wonderful to be here. Wonderful! I feel like, now really, to dive in this ocean of generosity, this is too much. Your generosity, this is, uh, how do you say when the rain, the hailstorm, it's a hailstorm of kindness, of gratitude for you.

And really I would like to thank everybody that did the movie, because without them I couldn't fly with this movie. Everybody who did -- the producer, the screenwriter Cerami, Elda Ferri, Gianluigi Braschi, Nicola Piovani, Vittorio Cecchi Gori. Harvey Weinstein of Miramax Film[s], thank you very much for what you did. And also I would like to thank my parents in Vergaio, in a little village in Italy. They gave me their biggest gift, their poverty, and I want to thank for the lesson(?) of my life. Really, but thank you, Mamma and Babbo. Thank you! And thank you for your love. Because if I am here it's because people love the movies. So it's always a question of love.

I would like to dedicate this prize to those, because the subject the movie, those who are not here. They gave their life in order [that] we can say, ""Life is beautiful."" And I would like to also say, a kiss to Giorgio Cantarini, Giorgio, the little boy. And because we are talking love, Dante said: L'amore che muove il sole e le altre stelle -- Love will move the sun and the other stars. Love is a divinity, and sometimes if you have faith, like all the divinities it can appear. That's why I want to dedicate this prize to Nicoletta Braschi. Thank you."
1998 (71st) Academy Awards,Makeup,Elizabeth,Jenny Shircore,Mike Myers,"JENNY SHIRCORE:
Thank you very much. I'm overjoyed. Cate, this is because of you, really. Cate looked so wonderful as our Queen Elizabeth, and the way she wore the hair and makeup that we applied for her. You did this. And also thank you to my whole team that worked with me: Sarah Phillips, the facial hair maker; and Terry Jarvis, my brilliant wig maker; and everybody else. Mary Richards, who gave me the money to do it with. And Cate, for Cate Blanchett. Thank you very much."
1998 (71st) Academy Awards,Music (Original Dramatic Score),Life Is Beautiful,Nicola Piovani,Geena Davis,"NICOLA PIOVANI:
It's impossible for me in this moment [to] speak about my emotion in English. I can tell just: Thank you to the jury. Thank you, the Academy. Thank you, Roberto."
1998 (71st) Academy Awards,Music (Original Musical or Comedy Score),Shakespeare in Love,Stephen Warbeck,"Andie MacDowell, Andy Garcia","STEPHEN WARBECK:
It's a very, very exciting moment. Thank you very much. Especially exciting because John Madden is such a fantastically stimulating person to collaborate with. So thank you, John. Thank you to the Academy. Thank you to Sarah, Jessica, Herbert, Matilda. And thank you to my mother and father. Thank you to the lovely producers, without whom we wouldn't be here or the people involved in this. Thank you to William Shakespeare, Bertolt Brecht, and The Kippers, for inspiring me to write music for the theater and other things. And thank you, thank you to all the friends who worked on the music, without whom it would just be squiggles on a piece of paper: John Parricelli, Eleanor Alberga, Chris Dibble, Nick Ingman, Martin Robinson, Paul, Gary and Frank. Thank you very much indeed. This is lovely. Thank you."
1998 (71st) Academy Awards,Music (Original Song),The Prince of Egypt,Music and Lyric by Stephen Schwartz (not present; accepted by presenter),Jennifer Lopez,
1998 (71st) Academy Awards,Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",Harrison Ford,"DONNA GIGLIOTTI:
Wow, this is just fantastic. Thank you to the members of the Academy. We share this award with John Madden, because we wouldn't be up here without him. He made us look real good, and that there is no director, that -- he's a producer's dream. The other people that we share this with -- I think I'm forgetting them -- are my own personal lucky charm, Ms. Gwyneth Paltrow, Geoffrey Rush, Joseph Fiennes, Judi Dench, Colin Firth, Ben Affleck -- I saw you there. Rupert Everett, and -- David, come help me here for a minute please...

DAVID PARFITT:
Well, we'd also like to thank Universal who, with Ed and Marc, started all of this. And Miramax, who had the courage to finish it.

DONNA GIGLIOTTI:
Our fantastic crew. And who else are we thanking?

DAVID PARFITT:
I'd like to thank Mark Cooper, Cleone Clarke, and my partner in all things, Liz Barron. Thank you.

DONNA GIGLIOTTI:
The other guy that we really need to thank, though, is Harvey Weinstein, who had the guts, the courage, the commitment to make this picture and get it done. Here he is. Say a few words...

HARVEY WEINSTEIN:
This was an ensemble film, and it took an ensemble team to make it. I want to thank at Disney: Michael Eisner and Joe Roth, who've given me great latitude and great support. At Universal: Edgar Bronfman, Ron Meyer, Stacey, Nadia Bronson, Chris McGurk. At Miramax: My brilliant Meryl Poster, my head of production who rocks the universe and makes us look good. Oh man, Julie Goldstein, who is the most persevering, brilliant executive producer. To Bob Osher, to Mark Gill and Marcy Granata, who are the one and two most dynamite marketing team.

DONNA GIGLIOTTI:
And your brother Bob...

HARVEY WEINSTEIN:
I'm getting there, okay. I don't know, we made this movie -- this is a movie about life and art. And art and life combining is called magic. For me, this was a great experience, a passion, for five years. And nobody inspires me more than my brother Bob, who is my partner and best friend every day. My loving wife Eve; my two rotten kids, Lily and Emma; my beautiful nieces, Sarah and Nicole; and my mom Miriam. The Miriam of Miramax [music begins to play] who makes Jewish mothers look good. Okay, and the rest of you guys, thank you."
1998 (71st) Academy Awards,Short Film (Animated),Bunny,Chris Wedge,"""Flik"", ""Heimlich""","CHRIS WEDGE:
Thank you, ""Flik."" Thank you, members of the Academy. This award is especially thrilling because it's been a labor of love, ""Bunny,"" for all of us at Blue Sky Studios in New York for many years actually. And so to my beautiful wife and family, Jean*, Sarah and Jack; Mom and Dad; Nina Rappaport, my producer; Tom Waits and Kathleen Brennan, for their soulful music; and every one of you that is now or ever has been a member of Blue Sky Studios. Thank you all very much for helping me follow my heart and for pouring so much of yours into ""Bunny."" Thank you.
[*Spelling not confirmed.]"
1998 (71st) Academy Awards,Short Film (Live Action),Election Night (Valgaften),"Kim Magnusson, Anders Thomas Jensen",Brendan Fraser,"KIM MAGNUSSON:
Thank you very much. Thank you, the Academy. Thank you, everybody who went and saw the short films. More of you have to go. And quickly I want to thank the cast and crew of this film. Without them we couldn't have done it. And also on a personal note, I want to thank my family: my mom at home, who's taking care of my kids; my beautiful wife; my father, who I share this with. And last, to some people over here who helped me out: Mike, Doc, Neal* and Missy. Thank you.
[*Spelling not confirmed.]"
1998 (71st) Academy Awards,Sound,Saving Private Ryan,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins",Anjelica Huston,"RONALD JUDKINS:
For a whole generation that has never had to experience war, ""Saving Private Ryan"" powerfully and nobly demonstrates the horror of what that is.

GARY RYDSTROM:
I came back; I have more thanking of Steven to do. Steven, your eloquence with filmmaking made this film an indelible experience both to watch and to work on. I want to thank everyone at Skywalker Sound again. The people of Todd-AO West, Richard Hymns and a wonderful editorial crew. Paramount, DreamWorks, Marty Cohen. The entire sound crew strived to make this film true to the memories and the experiences of soldiers. And we are very proud to be a part of it. Thank you.

RONALD JUDKINS:
Thank you, Steven. Thank you to the Academy."
1998 (71st) Academy Awards,Sound Effects Editing,Saving Private Ryan,"Gary Rydstrom, Richard Hymns",Chris Rock,"RICHARD HYMNS:
This is a great film. It was a wonderful opportunity for sound and we took it. It is our benchmark.

GARY RYDSTROM:
Thank you most of all to Steven Spielberg. I can't think of a greater compliment for a director than you inspire people to do their best work. And that was certainly true of the people up at Skywalker Sound.

RICHARD HYMNS:
Especially the amazing sound effects editors: Ethan Van Der Ryn, Terry Eckton, Frank Eulner, Karen Wilson, Larry Oatfield, and my fabulous assistants Lisa Chino and André Fenley.

GARY RYDSTROM:
Thanks to the indispensable Shannon Mills. Thanks to Paramount, DreamWorks and especially Marty Cohen. Thanks to our great foley team: Dennie Thorpe and Jana Vance. Personal thanks to my family, my mom and dad, and thanks to Cindy, my beautiful trophy wife. Thank you.

RICHARD HYMNS:
And Liz, and my girlfriend Liz."
1998 (71st) Academy Awards,Visual Effects,What Dreams May Come,"Joel Hynek, Nicholas Brooks, Stuart Robertson, Kevin Mack",Liam Neeson,"JOEL HYNEK:
Whoo! What dreams have come. We'd like to thank Vincent Ward for his amazing vision. Stephen Simon, Barnet Bain, for their faith. Ellen Somers, Eugenio Zanetti, all the folks at Interscope. And I'd like to thank my colleagues at Manex Entertainment, and my wife Robin and kids. And Nick...

NICHOLAS BROOKS:
Thank you for letting us make something beautiful and cruelty-free. And this one's for Mass.Illusion. To Pierre Jasmin, Mike Schmitt, Donna Langston, and to Joshua Rosen. And this to my wife and my family. Thank you.

STUART ROBERTSON:
Thanks to Mary(?), my family, Mike Joyce, Rocco, Deak, and Yannick. Ken, Andrea, Lawrence and David. Ellen Somers and POP Film. Mack...

KEVIN MACK:
I want to thank Scott Ross and all the wonderful folks at Digital Domain, and my family. Love is groovy. Be positive."
1998 (71st) Academy Awards,Writing (Screenplay Based on Material Previously Produced or Published),Gods and Monsters,Bill Condon,"Steve Martin, Goldie Hawn","BILL CONDON:
Thank you so much. I see the thirty... This ""Gods and Monsters"" is based on Chris Bram's novel ""Father of Frankenstein,"" and it's a very faithful adaptation, so first I have to thank him. These actors sitting in front of me, Brendan, Ian and Lynn, these geniuses who made this all work. This is yours. Thank you so much. I have to thank Gregg Fienberg, Clive Barker, all my friends at Regent, Paul Colichman, Mark Harris and Steve Jarchow. Flashpoint, BBC, Showtime, the great Lions Gate who we wouldn't be here without, Mark Urman and Tom Ortenberg. So many friends and family past, missing and absent -- absent and here -- Mason Wiley, Flo(?) and Bill(?), the great Jack Morrissey. Critics from around the country, people like Peter Travers who made a mission out of this movie. And of course, most of all, James Whale. Sixty years ago Hollywood sort of turned its back on him because he insisted on living the way he wanted to. So Mr. Jimmy, this is for you. Thank you."
1998 (71st) Academy Awards,Writing (Screenplay Written Directly for the Screen),Shakespeare in Love,"Marc Norman, Tom Stoppard","Steve Martin, Goldie Hawn","MARC NORMAN:
Well, speaking of leaks. We get few enough chances in our lives to put pleasure into the world. I feel very happy and lucky to be -- having been connected with ""Shakespeare in Love."" I'd like to thank on behalf of Tom, everybody at Miramax who worked so hard, especially Harvey Weinstein, a man of dedication and vision. A cast and crew that was exceptional. They are doing pretty well tonight as you've seen. My personal thanks to my family: my wife Dale, my sons Alex and Zach. All my parents, all my parents-in-law, who I will be with shortly when all this wonderful hoo-ha is over. Thank you.

TOM STOPPARD:
I'm behaving like Roberto Benigni underneath. Thank you. My thanks -- please don't clap, they'll play the music. My thanks to the Academy, to Marc, to Donna Gigliotti and David Parfitt who played good cop and very sweet cop to Commissioner Harvey. To John Madden, who is available. And since Gwyneth mentioned her agent I thought I'd mention mine. He's older and nicer. Ken Ewing is my guest tonight. I sent him my first play thirty-eight years ago and we're still here. Thank you. And for the hell of it: Hi, Ollie, Barney, Will and Ed. Thanks."
1998 (71st) Academy Awards,Honorary Award,,"To Elia Kazan in recognition of his indelible contributions to the art of motion picture direction. (accompanied on stage by his wife, Frances Kazan)","Robert De Niro, Martin Scorsese","ELIA KAZAN:
I thank you very much. I really like to hear that. I want to thank the Academy for its courage, generosity. And I want to tell you that I've been a member of the Academy, on and off, for I don't know how many years, so I'm pleased to say what's best about them: They're damn good to work with. I also want to thank... Marty? Where are you? Where are you, hiding behind me? Where's Marty? Thank you [hugging Martin Scorsese]. And Bobby, Bobby De Niro [hugging Robert De Niro]. I want to thank you all very much. I think I can just slip away."
1998 (71st) Academy Awards,Irving G. Thalberg Memorial Award,,Norman Jewison,Nicolas Cage,"NORMAN JEWISON:
Not bad for a goy. What do you say, Irving? They really keep this show going. Forty years of filmmaking and they did it in three minutes! Well, Irving, you're one heavy dude. I'll tell you that... You want to hold him? He's about twenty pounds!

There's a lot of people to thank, of course, but Irving once said that brevity is a great virtue. So, I accept this great honor tonight in the names of all those people who have contributed to my work, my life's work. Forty years ago, I sat at William Wyler's feet and tried to learn how to make movies. And Willy Wyler was a god to me, and he won this award. And I think that's what is so meaningful to me, to join all those filmmakers that have gone before. I would like to thank my immediate loved ones, my family, every actor, writer, editor, cinematographer, production designer, costume designer, sound man and editor I've ever worked with. All those crews in Europe and Canada and the United States.

And my one real regret about winning this prize is that, you know, it's not like the Nobel or the Pulitzer. I mean, the Thalberg Award comes with no money attached. If it did, if it did, I would share it with the Canadian Film Centre and the AFI where the next generation of filmmakers are preparing to entertain the world in the new millennium. And my parting thought to all those young filmmakers is this: Just find some good stories. Never mind the gross, the top ten, bottom ten, what's the rating, what's the demographic. You know something, the biggest grossing picture is not necessarily the best picture, I want to tell you something. So just tell stories that move us to laughter and tears, and perhaps reveal a little truth about ourselves. And as for myself, I hope to see you again next year!"
